name,longname,slug,url,proximity,images,data,knowledge,api,dnz,summary,benefits,status,statusMessage,directAudiences,indirectAudiences,directConversations,indirectConversations,reach,impact
ArtStor,,artstor,https://www.jstor.org/site/artstor/open-museum-of-newzealand-tepapa-tongarewa/,3,85,15,0,True,False,Global respository of out of copyright artworks. Part of JStor.,go-to site for a large audience|supports users looking for research and source images,inactive,"45,000 images, not updated.",,school,,nz histories,Discoverable through JSTOR|Targeted for scholarly and educational use,Supports research combining visual and textual sources|Gets researchers to use more diverse material
Bridgeman Images,,bridgeman,https://www.bridgemanimages.com/en/explore/partners/museum-of-new-zealand-te-papa-tongarewa,2,90,10,0,False,False,"Service for licensing art and other heritage material for reproduction, including publication and commercial use.",gets usable collections directly in front of an active audience,inactive,"1,950 selected images, not updated.",,,,,Direct connection to creators and commercial users,Images get used in publications and products
Collections Online,Te Papa Collections Online,co,https://collections.tepapa.govt.nz,1,50,40,10,True,False,"Search across Te Papa's collections, browse using categories, people, and species, read articles and topic summaries, and download open images.",all Te Papa's published records and images|free and easy downloads of openly-licensed materials|access publications,active,Updated multiple times a day from changes to our database.,māori|pacific|asian nz|school,access|underrepresented|whānau,aotearoa/pacific|papatūānuku|nz histories,te tiriti|identity|social cohesion,100s of thousands of views each month from Aotearoa and around the world,Helps identify a spider|Lets you download a portrait of your grandma
Cultural Japan,,culturaljapan,https://cultural.jp/en/search?fc-access=%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E5%9B%BD%E7%AB%8B%E5%8D%9A%E7%89%A9%E9%A4%A8&page=1,3,50,50,0,True,True,"Digital content aggregator similar to DigitalNZ, pulling together material from and about Japan.",connects part of our collection directly with the most relevant audience,active,"1,800 images pulled through from DigitalNZ, updated regularly.",,asian nz,aotearoa/pacific,,Japanese-speaking audience in Japan and around the world,Connects Japanese audience with heritage previously only available through English channels
Data.govt.nz,,datagovt,https://catalogue.data.govt.nz/dataset/?_organization_limit=0&organization=museum-of-new-zealand-te-papa-tongarewa,3,0,100,0,False,False,"Clearinghouse for New Zealand data, particularly from government departments and other Crown institutions.",stable repository for useful information,active,"9 datasets, updated as needed.",,,,,"Wide range of decision-makers and researchers from government, tertiary, community and private sector",Turn Te Au The Current ideas into action|Be a transparent and responsible public organisation
Digital Pasifik,,digitalpasifik,https://digitalpasifik.org/search?search_term=&filters_open=true&sort_by=&content_partner%5B%5D=Museum+of+New+Zealand+Te+Papa+Tongarewa,2,50,50,0,True,True,Digital content aggregator based on DigitalNZ with the collaboration of the Australian Government. Allows easy access to Pasifika content by nation.,puts Te Papa's collections in a wider Pacific context|direct channel to priority audience|easy to use and share,active,"12,800 items with regular updates.",pacific|school,underrepresented|whānau,aotearoa/pacific,,Large Pacific audience wanting to access their heritage in a Pacific context,
Digital Transgender Archive,,dta,https://www.digitaltransgenderarchive.net/,3,70,20,10,False,False,"Archive of trans history aggregating collections from around the world, as well as providing educational materials and topical summaries.",surfaces material relevant to a targeted audience|links Aotearoa's queer history with the wider world|motivates further collection and improved descriptions,coming,Initial discussions taking place,underrepresented,,identity|nz histories,social cohesion,Relevant to a connected set of marginalised communities around the world,Reconnects communities with an often invisible history|Education and resources to support trans people now
DigitalNZ,,dnz,https://digitalnz.org/records?text=&i%5Bcontent_partner%5D=Museum%20of%20New%20Zealand%20Te%20Papa%20Tongarewa,2,50,50,0,True,False,"Aggregator of digital content from and about Aotearoa, built to support finding, using, and sharing. Based at the National Library of New Zealand.",big audience|puts Te Papa's collections in a wider Aotearoa context|makes it easy to use and share further,active,"275,000 images and 850 videos, updated with changes and new items twice a week.",māori|pacific|asian nz|school,access|underrepresented|whānau,aotearoa/pacific|papatūānuku|nz histories,te tiriti|identity|social cohesion,10s of thousands of views every day|API shares content to other platforms and tools,Gets more of Aotearoa's history into day to day life through many channels
GBIF,Global Biodiversity Information Facility,gbif,https://www.gbif.org/grscicoll/institution/2749cf1e-60d9-4b03-9c71-3763632b8f78,2,15,80,5,True,False,"Biodiversity data aggregator using Darwin Core. Search, view maps, download dynamically constructed datasets.",contribute to global biodiversity research|make our NH collections directly usable|find ways to improve our own data,coming,"250,000 botany specimen records to be published shortly.",,māori|pacific|school,papatūānuku,aotearoa/pacific|future state,The number-1 resource for biodiversity data|Data gets cited in new publications constantly,Improves research about plant distributions on the West Coast|Fills in a map of species found in your rohe
Google Arts & Culture,,googleart,https://artsandculture.google.com,3,70,20,10,True,False,"A place to share art and other beautiful and meaningful objects with a huge audience. Makes it easy to connect related works by creator, type, place of creation and more.",huge audience|see works by a creator together in one place|lots of connections using metadata and tags,active,"5,000 images published, more coming.",,,,,Images get 100s of times more view than CO|Lots of unique inroads for users,Raise the profile of Aotearoa's artists
